venue,toss_decision,win_rate,match_count
De Beers Diamond Oval,field,1.0,1
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",bat,1.0,1
"Maharashtra Cricket Association Stadium, Pune",bat,1.0,2
Barabati Stadium,bat,1.0,2
M.Chinnaswamy Stadium,bat,1.0,1
OUTsurance Oval,bat,1.0,1
OUTsurance Oval,field,1.0,1
Punjab Cricket Association IS Bindra Stadium,bat,1.0,1
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",field,1.0,1
Green Park,field,1.0,4
Himachal Pradesh Cricket Association Stadium,bat,1.0,1
Holkar Cricket Stadium,field,0.875,8
SuperSport Park,field,0.8333333333333334,6
Newlands,bat,0.75,4
JSCA International Stadium Complex,field,0.75,4
Sawai Mansingh Stadium,field,0.6785714285714286,28
"Sawai Mansingh Stadium, Jaipur",field,0.6666666666666666,9
Punjab Cricket Association IS Bindra Stadium,field,0.6666666666666666,9
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",bat,0.6666666666666666,6
Brabourne Stadium,bat,0.6666666666666666,6
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",bat,0.6666666666666666,3
Buffalo Park,bat,0.6666666666666666,3
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",bat,0.6666666666666666,3
"Dr DY Patil Sports Academy, Mumbai",bat,0.6666666666666666,3
Shaheed Veer Narayan Singh International Stadium,field,0.6666666666666666,3
Sharjah Cricket Stadium,field,0.65,20
Maharashtra Cricket Association Stadium,field,0.65,20
Eden Gardens,field,0.6326530612244898,49
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",field,0.625,16
"Sawai Mansingh Stadium, Jaipur",bat,0.625,8
"MA Chidambaram Stadium, Chepauk",bat,0.6176470588235294,34
Kingsmead,field,0.6,5
"Zayed Cricket Stadium, Abu Dhabi",field,0.6,5
Kingsmead,bat,0.6,10
Dr DY Patil Sports Academy,field,0.6,10
Subrata Roy Sahara Stadium,bat,0.6,15
Barabati Stadium,field,0.6,5
"Arun Jaitley Stadium, Delhi",bat,0.6,5
"Wankhede Stadium, Mumbai",field,0.5909090909090909,44
Sheikh Zayed Stadium,field,0.5714285714285714,14
MA Chidambaram Stadium,field,0.5714285714285714,7
Saurashtra Cricket Association Stadium,field,0.5714285714285714,7
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",field,0.5714285714285714,7
Feroz Shah Kotla,field,0.5588235294117647,34
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",field,0.5454545454545454,11
M Chinnaswamy Stadium,field,0.543859649122807,57
"Dr DY Patil Sports Academy, Mumbai",field,0.5294117647058824,17
"Punjab Cricket Association Stadium, Mohali",field,0.5238095238095238,21
"MA Chidambaram Stadium, Chepauk, Chennai",field,0.5238095238095238,21
Wankhede Stadium,field,0.5098039215686274,51
Arun Jaitley Stadium,bat,0.5,6
"Vidarbha Cricket Association Stadium, Jamtha",bat,0.5,2
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",bat,0.5,8
De Beers Diamond Oval,bat,0.5,2
"Brabourne Stadium, Mumbai",field,0.5,14
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,field,0.5,8
New Wanderers Stadium,field,0.5,6
Brabourne Stadium,field,0.5,4
SuperSport Park,bat,0.5,6
Nehru Stadium,bat,0.5,2
"Sardar Patel Stadium, Motera",bat,0.5,6
Maharashtra Cricket Association Stadium,bat,0.5,2
M.Chinnaswamy Stadium,field,0.5,14
Himachal Pradesh Cricket Association Stadium,field,0.5,8
MA Chidambaram Stadium,bat,0.5,2
"Narendra Modi Stadium, Ahmedabad",field,0.48148148148148145,27
"M Chinnaswamy Stadium, Bengaluru",field,0.47368421052631576,19
"Rajiv Gandhi International Stadium, Uppal",field,0.46153846153846156,26
Feroz Shah Kotla,bat,0.46153846153846156,26
Wankhede Stadium,bat,0.45454545454545453,22
"Punjab Cricket Association IS Bindra Stadium, Mohali",field,0.4444444444444444,9
"Arun Jaitley Stadium, Delhi",field,0.4444444444444444,18
Eden Gardens,bat,0.42857142857142855,28
St George's Park,bat,0.42857142857142855,7
Dr DY Patil Sports Academy,bat,0.42857142857142855,7
Dubai International Cricket Stadium,field,0.4074074074074074,27
Sheikh Zayed Stadium,bat,0.4,15
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",field,0.4,5
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,bat,0.4,5
"Eden Gardens, Kolkata",field,0.3888888888888889,18
"MA Chidambaram Stadium, Chepauk, Chennai",bat,0.38461538461538464,13
"Wankhede Stadium, Mumbai",bat,0.375,8
M Chinnaswamy Stadium,bat,0.375,8
Sharjah Cricket Stadium,bat,0.375,8
Arun Jaitley Stadium,field,0.375,8
Dubai International Cricket Stadium,bat,0.3684210526315789,19
"Punjab Cricket Association Stadium, Mohali",bat,0.35714285714285715,14
Nehru Stadium,field,0.3333333333333333,3
Newlands,field,0.3333333333333333,3
"Zayed Cricket Stadium, Abu Dhabi",bat,0.3333333333333333,3
"Narendra Modi Stadium, Ahmedabad",bat,0.3333333333333333,6
"Sardar Patel Stadium, Motera",field,0.3333333333333333,6
"Brabourne Stadium, Mumbai",bat,0.3333333333333333,3
JSCA International Stadium Complex,bat,0.3333333333333333,3
Shaheed Veer Narayan Singh International Stadium,bat,0.3333333333333333,3
Sawai Mansingh Stadium,bat,0.3157894736842105,19
Rajiv Gandhi International Stadium,field,0.3,10
"MA Chidambaram Stadium, Chepauk",field,0.2857142857142857,14
"Maharashtra Cricket Association Stadium, Pune",field,0.2727272727272727,11
"Barsapara Cricket Stadium, Guwahati",field,0.25,4
"Rajiv Gandhi International Stadium, Uppal",bat,0.21739130434782608,23
Rajiv Gandhi International Stadium,bat,0.2,5
"Eden Gardens, Kolkata",bat,0.2,5
"Himachal Pradesh Cricket Association Stadium, Dharamsala",field,0.2,5
"Punjab Cricket Association IS Bindra Stadium, Mohali",bat,0.0,2
"Himachal Pradesh Cricket Association Stadium, Dharamsala",bat,0.0,1
Holkar Cricket Stadium,bat,0.0,1
"Barsapara Cricket Stadium, Guwahati",bat,0.0,1
"Vidarbha Cricket Association Stadium, Jamtha",field,0.0,1
Subrata Roy Sahara Stadium,field,0.0,1
New Wanderers Stadium,bat,0.0,2
Saurashtra Cricket Association Stadium,bat,0.0,3
