venue,avg_runs,std_runs,match_count
Eden Gardens,160.1818181818182,29.42865023315638,77
Wankhede Stadium,166.02739726027397,30.49725516006852,73
M Chinnaswamy Stadium,168.06153846153848,35.886050964771165,65
Feroz Shah Kotla,161.63333333333333,34.045317090889455,60
"Wankhede Stadium, Mumbai",176.82692307692307,32.307785229342784,52
"Rajiv Gandhi International Stadium, Uppal",156.14285714285714,30.829504266746383,49
"MA Chidambaram Stadium, Chepauk",166.02083333333334,29.29271900190938,48
Sawai Mansingh Stadium,157.68085106382978,23.73779446824127,47
Dubai International Cricket Stadium,163.7608695652174,25.175106560611916,46
"Punjab Cricket Association Stadium, Mohali",163.28571428571428,29.711922174907006,35
"MA Chidambaram Stadium, Chepauk, Chennai",164.35294117647058,29.77377568196669,34
"Narendra Modi Stadium, Ahmedabad",186.63636363636363,36.513540452325856,33
Sheikh Zayed Stadium,158.86206896551724,31.421926077560002,29
Sharjah Cricket Stadium,159.03571428571428,35.54702898754367,28
"Eden Gardens, Kolkata",196.7826086956522,29.40154065496187,23
"Arun Jaitley Stadium, Delhi",200.34782608695653,36.003293656972524,23
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",175.36363636363637,33.58506677016899,22
Maharashtra Cricket Association Stadium,166.4090909090909,30.95258907688936,22
"Dr DY Patil Sports Academy, Mumbai",170.7,25.064338264386297,20
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",189.3684210526316,43.363080208239346,19
"M Chinnaswamy Stadium, Bengaluru",189.05263157894737,37.911407963846045,19
"Sawai Mansingh Stadium, Jaipur",187.23529411764707,25.351354529306477,17
"Brabourne Stadium, Mumbai",177.41176470588235,38.0855268171674,17
Dr DY Patil Sports Academy,146.64705882352942,28.87243749770399,17
Subrata Roy Sahara Stadium,149.4375,25.216314163652072,16
Kingsmead,152.0,29.024620091029128,15
Rajiv Gandhi International Stadium,162.6,31.17416512801219,15
M.Chinnaswamy Stadium,173.93333333333334,38.4512059381138,15
Arun Jaitley Stadium,168.28571428571428,27.813744724585284,14
"Maharashtra Cricket Association Stadium, Pune",171.46153846153845,21.52368998961913,13
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,157.46153846153845,27.31182706147462,13
"Sardar Patel Stadium, Motera",163.16666666666666,22.18038991924391,12
SuperSport Park,154.83333333333334,24.884582058825583,12
"Punjab Cricket Association IS Bindra Stadium, Mohali",164.0909090909091,37.391053864405976,11
Saurashtra Cricket Association Stadium,168.9,22.83004842550955,10
Punjab Cricket Association IS Bindra Stadium,175.6,13.882042757141726,10
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",163.0,38.735570790223875,10
Brabourne Stadium,180.4,20.337158110217853,10
MA Chidambaram Stadium,150.55555555555554,40.991191465701235,9
Holkar Cricket Stadium,160.33333333333334,48.163783074006965,9
Himachal Pradesh Cricket Association Stadium,175.66666666666666,32.30711995830021,9
"Zayed Cricket Stadium, Abu Dhabi",159.0,41.83300132670378,8
New Wanderers Stadium,144.0,13.564659966250538,8
St George's Park,159.0,17.281975195754296,7
Barabati Stadium,167.71428571428572,34.54327858264318,7
JSCA International Stadium Complex,149.0,22.788886180182942,7
Newlands,139.42857142857142,30.347197250362033,7
"Himachal Pradesh Cricket Association Stadium, Dharamsala",194.33333333333334,45.3769398116121,6
Shaheed Veer Narayan Singh International Stadium,146.33333333333334,18.162231874598085,6
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",197.8,39.958728708506236,5
Nehru Stadium,146.8,15.466091943344964,5
"Barsapara Cricket Stadium, Guwahati",174.6,25.715753926338618,5
Green Park,161.25,29.970819141291415,4
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",208.75,46.219584593546486,4
Buffalo Park,147.33333333333334,31.005375877955963,3
De Beers Diamond Oval,158.0,15.620499351813308,3
"Vidarbha Cricket Association Stadium, Jamtha",149.33333333333334,10.598742063723096,3
OUTsurance Oval,135.0,21.213203435596427,2
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",228.0,,1
